IdPersona;Genero;Edad;SectorPoblacional;estado_civil;DepartamentoPersona;MunicipioPersona;cx_persona;cy_persona;EstratoPersona
P6432;F;30;Joven;SOLTERO;;;;;
H6433;M;18;Básico;SIN INFORMACION;;;;;
Z6434;M;39;Básico;SIN INFORMACION;;;;;
R6435;M;39;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1225191;4.66805889;4
L6436;F;45;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.12338134;4.55943712;2
M6437;F;32;Medio;SOLTERO;CUNDINAMARCA;GIRARDOT;-74.80487849;4.30111305;3
X6438;M;21;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06629413;4.65731532;3
P6439;F;38;Medio;UNION LIBRE;CUNDINAMARCA;FACATATIVA;-74.36764497;4.8225883;2
H6440;F;58;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.16706973;4.60660964;2
W6441;M;32;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12463568;4.64191326;4
R6442;M;45;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07420442;4.60464004;3
F6443;F;31;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13290098;4.56921431;2
I6444;M;36;Medio;SIN INFORMACION;;;;;
D6445;M;23;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11499972;4.5297556;2
O6446;M;56;Básico;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11950226;4.63296563;3
M6447;M;52;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05918222;4.65695246;0
A6448;F;23;Medio;SIN INFORMACION;;;;;
Z6449;F;53;Básico;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.18098164;4.57623107;1
J6450;M;33;Joven;SIN INFORMACION;;;;;
K6451;M;42;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09232525;4.72424482;2
U6452;M;24;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12590416;4.7058571;2
M6453;F;47;Medio;SOLTERO;;;;;
B6454;M;47;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.01982561;4.73709435;1
A6455;M;37;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.17118099;4.57405279;1
Y6456;F;43;Medio;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.02913265;4.7163547;
C6457;M;22;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.19027536;4.62902208;2
P6458;F;32;Joven;SOLTERO;;;;;
H6459;M;25;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15293463;4.63613049;3
Z6460;F;24;Joven;SIN INFORMACION;;;;;
R6461;M;27;Joven;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.21421936;4.57811345;2
L6462;F;46;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10897099;4.75577762;0
M6463;F;34;Joven;SIN INFORMACION;;;;;
X6464;M;23;Básico;SIN INFORMACION;;;;;
P6465;F;21;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11186895;4.70124088;0
H6466;M;55;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12448541;4.70025658;3
W6467;F;32;Básico;SIN INFORMACION;;;;;
R6468;F;32;Medio;SIN INFORMACION;;;;;
F6469;F;19;Joven;SIN INFORMACION;;;;;
I6470;F;58;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.12070371;4.71519869;
D6471;M;60;Alto;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.05083765;4.66039819;6
O6472;M;42;Medio;SIN INFORMACION;CUNDINAMARCA;MOSQUERA;-74.17350412;4.6942046;2
M6473;F;50;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05459233;4.77141082;3
A6474;F;24;Joven;SIN INFORMACION;;;;;
Z6475;M;38;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10631332;4.73712847;2
J6476;F;26;Básico;SIN INFORMACION;;;;;
K6477;F;28;Básico;SIN INFORMACION;;;;;
U6478;M;30;Básico;SIN INFORMACION;CUNDINAMARCA;FUSAGASUGA;-74.36241577;4.34220863;2
M6479;M;40;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.05899304;4.67496803;5
B6480;M;42;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.065798;4.72671736;0
A6481;M;36;Básico;SIN INFORMACION;;;;;
Y6482;F;26;Joven;SIN INFORMACION;;;;;
C6483;F;21;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12125123;4.70364868;3
P6484;M;20;Joven;SIN INFORMACION;;;;;
H6485;F;23;Joven;SIN INFORMACION;;;;;
Z6486;F;44;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09989907;4.72874417;2
R6487;M;20;Básico;SIN INFORMACION;;;;;
L6488;M;47;Básico;SIN INFORMACION;;;;;
M6489;F;23;Joven;SIN INFORMACION;;;;;
X6490;M;31;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09454742;4.74950543;0
P6491;F;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.03730902;4.71644885;5
H6492;M;49;Básico;SIN INFORMACION;;;;;
W6493;M;55;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.10810053;4.7176375;3
R6494;M;25;Joven;SIN INFORMACION;CUNDINAMARCA;CHIA;-74.04846247;4.85626055;1
F6495;M;53;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10231049;4.60895012;3
I6496;M;57;Medio;CASADO;;;;;
D6497;M;54;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18906987;4.60700029;2
O6498;M;29;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06737199;4.65997015;3
M6499;F;40;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.02286023;4.76089048;1
A6500;F;29;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.05107349;4.69719498;6
Z6501;M;30;Básico;UNION LIBRE;CUNDINAMARCA;GUACHETA;-73.68996213;5.38772031;
J6502;M;59;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.17804696;4.64890568;2
K6503;M;33;Básico;SOLTERO;;;;;
U6504;F;54;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12626539;4.60561952;3
M6505;F;42;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05547618;4.73008281;4
B6506;F;28;Joven;SIN INFORMACION;;;;;
A6507;M;29;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18411992;4.60349034;2
Y6508;M;33;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.19103401;4.60270748;2
C6509;M;45;Básico;UNION LIBRE;;;;;
P6510;M;33;Básico;SIN INFORMACION;CUNDINAMARCA;FUNZA;-74.20244849;4.7126716;3
H6511;F;57;Medio;SIN INFORMACION;;;;;
Z6512;F;47;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.1678126;4.64109244;2
R6513;M;39;Joven;SIN INFORMACION;;;;;
L6514;F;21;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12102672;4.74777885;2
M6515;M;49;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12872566;4.70186581;2
X6516;F;61;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.16901547;4.68279442;2
P6517;F;40;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12421502;4.56968537;3
H6518;F;25;Básico;SIN INFORMACION;;;;;
W6519;M;44;Básico;SIN INFORMACION;CUNDINAMARCA;ZIPAQUIRA;-74.00633652;5.02687045;3
R6520;M;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13614389;4.70992251;2
F6521;F;29;Básico;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.20410842;4.59946341;
I6522;F;41;Básico;UNION LIBRE;CUNDINAMARCA;GIRARDOT;-74.82158077;4.30152144;3
D6523;F;38;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11816315;4.628855;3
O6524;M;30;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.17802812;4.61658611;2
M6525;M;49;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.06868313;4.74839146;4
A6526;M;24;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08574939;4.63029497;4
Z6527;M;40;Medio;SIN INFORMACION;CUNDINAMARCA;FUSAGASUGA;-74.3617281;4.34415056;
J6528;M;53;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06791013;4.65296555;3
K6529;F;43;Alto;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.04439058;4.69564027;6
U6530;M;38;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12237916;4.59248737;3
M6531;F;27;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.15692262;4.57675616;2
B6532;F;27;Joven;SIN INFORMACION;;;;;
A6533;F;35;Medio;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.19565671;4.58925236;3
Y6534;M;25;Básico;SIN INFORMACION;;;;;
C6535;M;55;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.07492675;4.65856531;3
P6536;M;30;Medio;SIN INFORMACION;;;;;
H6537;M;31;Joven;SIN INFORMACION;;;;;
Z6538;F;32;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10724589;4.67590384;4
R6539;F;47;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.04734664;4.69659904;6
L6540;M;35;Medio;SIN INFORMACION;;;;;
M6541;F;28;Básico;SIN INFORMACION;;;;;
X6542;F;33;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12248135;4.6466947;0
P6543;M;50;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12723534;4.72223398;3
H6544;M;28;Joven;SIN INFORMACION;;;;;
W6545;M;43;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.11389964;4.74965336;2
R6546;M;32;Básico;SIN INFORMACION;;;;;
F6547;F;40;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12269035;4.70596274;3
I6548;M;27;Joven;SIN INFORMACION;;;;;
D6549;M;39;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.08686442;4.61767396;0
O6550;M;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14122058;4.60461317;2
M6551;F;34;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.19393523;4.63749897;1
A6552;M;59;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12147716;4.52333803;2
Z6553;M;31;Básico;SOLTERO;;;;;
J6554;M;55;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.09958135;4.64426728;0
K6555;F;41;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.04776551;4.70774291;6
U6556;M;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08741445;4.6120454;0
M6557;F;39;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12602163;4.67683799;
B6558;F;42;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07220391;4.56793036;1
A6559;F;29;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08177402;4.59436094;2
Y6560;F;27;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08076528;4.70957913;5
C6561;M;60;Medio;SIN INFORMACION;;;;;
P6562;M;41;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.21059463;4.63641555;2
H6563;F;21;Básico;SIN INFORMACION;;;;;
Z6564;M;44;Básico;SIN INFORMACION;;;;;
R6565;M;42;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.11942348;4.66170725;3
L6566;F;52;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1678853;4.58266054;1
M6567;F;25;Básico;SIN INFORMACION;;;;;
X6568;M;39;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09274679;4.72656571;2
P6569;M;47;Básico;SIN INFORMACION;;;;;
H6570;M;43;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.04018522;4.74087251;3
W6571;M;24;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07789461;4.61205222;3
R6572;M;18;Básico;SIN INFORMACION;;;;;
F6573;M;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08711732;4.61197539;
I6574;M;40;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08920401;4.60636181;3
D6575;M;22;Joven;SIN INFORMACION;;;;;
O6576;M;53;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12576104;4.72111502;3
M6577;F;37;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.07542994;4.67541854;
A6578;M;33;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.06980751;4.71165284;5
Z6579;M;34;Básico;SIN INFORMACION;;;;;
J6580;M;26;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10356435;4.67521031;3
K6581;M;39;Joven;SIN INFORMACION;;;;;
U6582;M;31;Medio;SIN INFORMACION;;;;;
M6583;F;47;Básico;SIN INFORMACION;;;;;
B6584;M;55;Básico;SOLTERO;;;;;
A6585;M;27;Básico;SIN INFORMACION;;;;;
Y6586;F;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10594693;4.74448442;2
C6587;F;35;Medio;UNION LIBRE;CUNDINAMARCA;SOACHA;-74.19139032;4.57862095;1
P6588;M;32;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.06696021;4.60236954;
H6589;F;41;Medio;SIN INFORMACION;;;;;
Z6590;F;26;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.17083939;4.63518293;2
R6591;F;32;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11317895;4.49238094;1
L6592;M;37;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.20475592;4.63240353;2
M6593;F;36;Medio;SOLTERO;CUNDINAMARCA;TOCANCIPA;-73.91803313;4.96803998;3
X6594;M;25;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08521958;4.59500575;2
P6595;F;29;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.05861688;4.69487977;6
H6596;M;46;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10679932;4.75670976;2
W6597;M;56;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10420844;4.67375279;3
R6598;M;25;Joven;SIN INFORMACION;;;;;
F6599;M;49;Básico;SIN INFORMACION;;;;;
I6600;F;29;Medio;SOLTERO;CUNDINAMARCA;SOACHA;-74.24000918;4.5737864;2
D6601;F;43;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.1330144;4.67405443;4
O6602;M;28;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10001875;4.59339584;3
M6603;M;36;Básico;SIN INFORMACION;;;;;
A6604;M;52;Medio;CASADO;;;;;
Z6605;M;56;Básico;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.1408588;4.55798139;1
J6606;F;47;Básico;SIN INFORMACION;;;;;
K6607;F;47;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.08519991;4.60399164;3
U6608;M;61;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11754043;4.56188102;2
M6609;M;30;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1644151;4.60444512;2
B6610;M;39;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18684916;4.6438803;2
A6611;M;30;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.18018113;4.62036292;2
Y6612;F;27;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07997191;4.60930092;3
C6613;F;51;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.13924089;4.71353372;2
P6614;F;29;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12659669;4.69780503;2
H6615;M;30;Básico;SIN INFORMACION;;;;;
Z6616;M;34;Básico;SIN INFORMACION;;;;;
R6617;F;28;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.14655167;4.57386654;0
L6618;M;37;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.11689632;4.51593554;2
M6619;F;55;Básico;VIUDO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11265149;4.65632405;4
X6620;M;31;Medio;SOLTERO;;;;;
P6621;F;30;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.16854853;4.65095004;2
H6622;M;42;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.16660132;4.54809517;1
W6623;M;51;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06785925;4.62877907;
R6624;M;43;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10126928;4.74418862;2
F6625;F;25;Joven;SIN INFORMACION;;;;;
I6626;M;55;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07589951;4.59315709;
D6627;M;51;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10176219;4.75168688;3
O6628;F;22;Básico;SIN INFORMACION;;;;;
M6629;M;58;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.15882559;4.6892044;3
A6630;M;58;Medio;SEPARADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.1776654;4.62295335;2
Z6631;M;47;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.1355986;4.68085363;3
J6632;M;25;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12384338;4.74545631;2
K6633;M;37;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13690793;4.53641369;1
U6634;M;27;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08466106;4.66437926;0
M6635;M;23;Básico;SIN INFORMACION;;;;;
B6636;M;47;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08015144;4.61129154;3
A6637;F;57;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.10020229;4.63800276;4
Y6638;F;42;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07439708;4.57096547;1
C6639;M;31;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06617275;4.60577799;
P6640;F;22;Básico;SIN INFORMACION;;;;;
H6641;M;22;Joven;SIN INFORMACION;;;;;
Z6642;M;27;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.0686812;4.56757793;1
R6643;M;29;Básico;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.20792747;4.58166398;
L6644;M;36;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10468395;4.54236341;2
M6645;M;43;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.14780855;4.55607256;1
X6646;M;40;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12941975;4.60486137;3
P6647;M;38;Joven;SIN INFORMACION;;;;;
H6648;M;31;Joven;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.11708845;4.74975543;2
W6649;F;40;Básico;SIN INFORMACION;;;;;
R6650;M;37;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.12688185;4.74441803;2
F6651;F;33;Básico;SIN INFORMACION;;;;;
I6652;F;41;Básico;CASADO;CUNDINAMARCA;CHOCONTA;-73.69011621;5.14421229;
D6653;F;34;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.03264291;4.74281232;3
O6654;M;19;Básico;SIN INFORMACION;;;;;
M6655;F;42;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11871626;4.6282206;3
A6656;F;35;Básico;SIN INFORMACION;;;;;
Z6657;F;29;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1940219;4.63699276;2
J6658;M;65;Básico;SIN INFORMACION;;;;;
K6659;M;40;Medio;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.07105944;4.74193969;4
U6660;M;30;Básico;UNION LIBRE;;;;;
M6661;M;29;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.16320075;4.64013427;2
B6662;F;37;Básico;SOLTERO;;;;;
A6663;F;29;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15707997;4.66840501;2
Y6664;M;32;Básico;SIN INFORMACION;CUNDINAMARCA;CHIA;-74.0555294;4.85851481;
C6665;M;60;Básico;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.17522366;4.61474273;2
P6666;M;22;Básico;SIN INFORMACION;;;;;
H6667;F;43;Básico;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.06653054;4.71839991;3
Z6668;M;51;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11667385;4.63180007;0
R6669;M;28;Joven;SIN INFORMACION;;;;;
L6670;F;42;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.12974194;4.6769676;
M6671;M;20;Básico;SIN INFORMACION;;;;;
X6672;M;28;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15316422;4.57918555;2
P6673;M;26;Básico;SIN INFORMACION;;;;;
H6674;F;24;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.14284487;4.6125022;3
W6675;F;41;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10126918;4.68176777;3
R6676;F;26;Básico;SOLTERO;CUNDINAMARCA;FUSAGASUGA;-74.36375059;4.32411103;2
F6677;M;50;Básico;SIN INFORMACION;;;;;
I6678;F;29;Joven;SIN INFORMACION;;;;;
D6679;M;31;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1488443;4.67532452;3
O6680;M;35;Joven;SOLTERO;;;;;
M6681;M;33;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1522055;4.64269894;2
A6682;M;19;Básico;SIN INFORMACION;;;;;
Z6683;F;30;Joven;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.11289444;4.72723548;0
J6684;M;60;Medio;CASADO;DISTRITO CAPITAL;BOGOTA D.C.;-74.03200721;4.69534021;6
K6685;M;21;Básico;SIN INFORMACION;;;;;
U6686;M;41;Básico;SIN INFORMACION;;;;;
M6687;F;34;Básico;SIN INFORMACION;;;;;
B6688;M;23;Joven;SIN INFORMACION;;;;;
A6689;M;55;Básico;UNION LIBRE;;;;;
Y6690;F;22;Joven;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.24572008;4.57636998;2
C6691;F;23;Joven;SIN INFORMACION;;;;;
P6692;M;27;Joven;SIN INFORMACION;;;;;
H6693;F;28;Básico;SIN INFORMACION;;;;;
Z6694;M;25;Joven;SIN INFORMACION;;;;;
R6695;M;43;Medio;UNION LIBRE;;;;;
L6696;F;32;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1370925;4.58234907;2
M6697;F;33;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.09100552;4.60609663;3
X6698;M;21;Básico;SIN INFORMACION;;;;;
P6699;M;51;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.10154533;4.55080971;1
H6700;F;29;Básico;SIN INFORMACION;CUNDINAMARCA;SOACHA;-74.22298588;4.59152261;1
W6701;M;37;Básico;UNION LIBRE;DISTRITO CAPITAL;BOGOTA D.C.;-74.07421876;4.59835835;2
R6702;M;37;Joven;SOLTERO;CUNDINAMARCA;GIRARDOT;-74.80459783;4.31140567;2
F6703;M;24;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.08489711;4.75669677;2
I6704;F;29;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15525642;4.62836061;3
D6705;M;60;Medio;SIN INFORMACION;;;;;
O6706;M;51;Básico;SIN INFORMACION;;;;;
M6707;M;25;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.1248846;4.75491213;0
A6708;M;47;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.15599397;4.68162058;
Z6709;M;23;Básico;SIN INFORMACION;;;;;
J6710;F;49;Medio;SIN INFORMACION;;;;;
K6711;M;38;Básico;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.13656279;4.71070831;2
U6712;M;30;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.19141788;4.60341135;2
M6713;M;19;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.05362003;4.72624073;3
B6714;F;28;Básico;SIN INFORMACION;;;;;
A6715;M;20;Joven;SIN INFORMACION;;;;;
Y6716;M;38;Medio;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.04005007;4.72600465;4
C6717;M;45;Medio;SOLTERO;DISTRITO CAPITAL;BOGOTA D.C.;-74.07835407;4.75619443;4
P6718;M;23;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.10484257;4.53360551;1
H6719;F;37;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.0778694;4.59626503;3
Z6720;M;27;Joven;SIN INFORMACION;;;;;
R6721;F;70;Básico;SIN INFORMACION;;;;;
L6722;F;23;Joven;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.06984383;4.63423885;4
M6723;F;58;Básico;SIN INFORMACION;;;;;
X6724;M;25;Básico;SIN INFORMACION;DISTRITO CAPITAL;BOGOTA D.C.;-74.13201031;4.62491306;2
